Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.588470	0.911406	1.024449	1.453630	0.934549	1.061002	1.426737	0.960081	
1.360043	0.903240	1.024744	1.584556	0.947185	0.976838	1.301279	0.952125	
1.398235	0.905415	1.029974	1.612844	0.928388	1.006184	1.348086	0.953083	
1.388950	0.915480	1.056887	1.409074	0.947172	1.011022	1.406686	0.954996	
1.564813	0.906735	1.042432	1.573339	0.941309	1.071442	1.331142	0.963286	
1.325449	0.918219	1.034225	1.597241	0.942127	0.996985	1.471991	0.948086	
1.473246	0.916960	1.037388	1.465646	0.946169	1.012318	1.498910	0.971606	
1.331443	0.916677	1.045911	1.587522	0.962398	1.012920	1.542326	0.959730	
1.340545	0.913954	1.027874	1.484870	0.945660	0.986456	1.510457	1.147385	
1.572696	0.914723	1.025625	1.527389	0.993939	0.992846	1.390119	0.956286	
1.574125	0.919003	1.034769	1.658535	0.940089	1.006179	1.380488	0.951716	
1.628237	0.924258	1.020175	1.642480	0.940829	1.023160	1.546284	0.965947	
1.344996	0.912796	1.025293	1.649986	0.932777	1.047425	1.412048	0.955415	
1.630073	0.918411	1.054575	1.444248	0.941354	0.993934	1.503691	0.964274	
1.344351	0.924634	1.042139	1.608312	0.929340	1.011738	1.453609	0.961389	
1.436347	0.920303	1.042252	1.369712	0.934606	0.984298	1.460406	0.968279	
1.482968	0.919738	1.026943	1.636472	0.952830	0.993966	1.320644	0.969164	
1.590838	0.941437	1.031442	1.599674	0.986970	1.010827	1.535222	0.966591	
1.479283	0.927103	1.019535	1.446961	0.934691	0.985830	1.529921	0.963423	
1.354406	0.927895	1.042911	1.554607	0.938895	1.001991	1.401728	0.977036	
1.699355	0.906048	1.051264	1.415892	0.935995	0.983406	1.462341	0.955854	
1.575522	0.926346	1.031683	1.667671	0.944031	0.987004	1.416051	1.007807	
1.440923	0.943825	1.030365	1.568812	0.933486	1.010911	1.510405	0.960272	
1.662432	0.954819	1.046366	1.615483	0.943556	1.018583	1.527389	0.965416	
1.442295	0.922195	1.035033	1.640979	0.946297	1.009235	1.457270	0.984101	
1.510851	0.915361	1.030962	1.470489	0.951517	1.009108	1.518669	0.950388	
1.493143	0.915745	1.041247	1.644014	0.936998	1.008874	1.366031	0.967230	
1.428052	0.928257	1.062394	1.598788	0.944770	1.076850	1.527983	0.980008	
1.572416	0.931429	1.050008	1.596693	0.942184	1.001920	1.414324	0.962514	
1.444313	0.915918	1.031186	1.622074	0.947048	1.007258	1.461231	0.959338	
1.540228	0.930779	1.034185	1.613820	0.949596	1.007160	1.545678	0.973885	
1.532901	0.921227	1.046594	1.573906	0.941165	0.989141	1.495072	1.000220	
1.398379	0.944746	1.028878	1.613755	0.959390	0.997430	1.443750	1.022332	
1.582863	0.910640	1.049673	1.545304	0.940242	0.998606	1.512920	0.963596	
1.621371	0.923321	1.045606	1.676486	0.936470	1.009458	1.440406	0.991071	
1.309603	0.938072	1.056766	1.596143	0.942770	1.013429	1.553282	0.954873	
1.403824	0.951217	1.064175	1.545626	1.002391	1.026279	1.512813	1.007266	
1.454229	0.930099	1.060920	1.452788	0.940620	0.991117	1.438542	1.004936	
1.478939	0.934296	1.060937	1.593054	0.927927	0.989148	1.488719	0.984385	
1.529537	0.934053	1.067984	1.577629	0.936182	1.069813	1.498398	0.968008	
1.295855	0.927406	1.052562	1.629062	0.938663	0.992456	1.544761	0.963356	
1.408971	0.950690	1.013528	1.624815	0.942292	0.992075	1.545203	0.969407	
1.642668	0.937653	1.018686	1.599624	0.941776	1.000930	1.529812	0.964521	
1.564846	0.892320	1.048575	1.613446	0.924276	0.992230	1.556101	0.964624	
1.231308	0.930005	1.059542	1.653576	0.937023	0.993638	1.490099	0.974373	
1.512173	0.947864	1.025600	1.525502	0.921851	0.998979	1.538614	0.971455	
1.624114	0.938156	1.023261	1.567284	0.934777	0.997742	1.534046	0.966126	
1.520948	0.908843	1.048932	1.594210	0.963713	1.000700	1.369817	0.970406	
1.538045	0.913834	1.039406	1.520884	0.974823	0.993608	1.469445	0.964909	
1.463479	0.917077	1.053457	1.657918	0.960561	0.987431	1.443210	0.973626	
1.561432	0.925102	1.023636	1.568397	0.956035	1.096246	1.455935	0.963216	
1.520098	0.908930	1.049443	1.572981	0.922565	0.977428	1.471253	0.963880	
1.476733	0.944775	1.049373	1.568179	0.942313	0.998302	1.463146	0.998031	
1.446986	0.903581	1.028209	1.614586	0.951254	1.004472	1.429953	0.965270	
1.472278	0.939727	1.038960	1.567126	0.933557	1.012749	1.521290	0.970301	
1.694289	0.912483	1.056090	1.514247	1.003404	1.008561	1.510570	0.985136	
1.386080	0.928100	1.045333	1.611727	0.951577	1.016428	1.378626	1.008627	
1.498072	0.930239	1.050986	1.632436	0.949595	1.010430	1.472581	0.963726	
1.342495	0.931415	1.065734	1.455838	0.963905	0.990940	1.508981	0.968165	
1.462737	0.929542	1.061925	1.424649	0.940981	1.001914	1.446610	0.983386	
1.495366	0.919356	1.045952	1.341372	0.952189	0.995539	1.452718	0.999750	
1.475325	0.914607	1.048628	1.563509	0.941153	1.007407	1.366824	0.954684	
1.402776	0.920298	1.066809	1.468712	0.954497	1.068218	1.467487	0.962954	
1.507844	0.920829	1.054227	1.416105	0.927938	1.019769	1.340269	1.024717	
