Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
2.078774	0.928776	1.062999	1.821986	0.934933	1.027224	1.777160	0.962865	
2.196575	0.954926	1.073927	1.804015	0.997842	1.005122	1.604225	1.015106	
2.227663	0.933434	1.077180	1.812219	0.941544	1.005494	1.309184	0.967453	
1.987863	0.909557	1.005450	0.991235	0.936391	0.999121	0.890129	0.942024	
1.557092	0.921618	0.916914	1.023892	0.944308	0.991504	1.093227	0.939381	
2.128002	0.942445	1.074728	1.843451	0.934390	1.009240	1.308073	0.978824	
1.488788	0.970108	1.087453	1.880594	0.928837	1.007422	1.706025	0.973524	
1.686563	0.911313	1.028575	1.302874	0.946137	0.990198	1.729599	0.955682	
1.457635	0.897443	0.930677	0.937003	0.930723	0.961351	1.459313	0.948818	
2.120817	0.915913	1.065920	1.490284	0.924964	1.030284	1.168752	0.968678	
2.111527	0.925770	1.049210	1.819875	0.936048	1.001840	1.502409	0.959304	
1.827660	0.923681	1.075929	1.900471	0.938343	1.014252	1.679216	0.980840	
1.859514	0.947397	1.063594	1.461368	0.946471	0.999516	1.714913	0.966287	
1.774770	0.922661	1.059291	1.689627	0.932407	0.983571	1.258407	0.957934	
1.907599	0.921659	1.076031	1.289952	0.951056	0.998924	1.460588	0.971108	
1.937596	0.935185	1.074654	1.740493	0.938099	1.000635	1.257053	0.975743	
1.590465	0.913604	1.063596	1.760265	0.939050	1.008028	1.479182	0.977777	
1.573665	0.930492	1.029721	1.318163	0.937411	0.988605	1.494955	1.018051	
1.944835	0.916563	1.038373	1.811082	0.948921	1.017919	1.546361	0.959412	
2.006416	0.946610	1.057624	1.767192	0.923066	1.050658	1.534819	0.968729	
1.964559	0.952079	1.083500	1.637109	1.010417	1.022218	1.648016	0.968316	
2.014884	0.914781	1.078927	1.656804	0.941404	0.991971	1.555287	0.980777	
1.593981	0.941484	1.064416	1.578804	0.941656	1.006110	1.703358	0.960170	
1.670079	0.912389	1.016698	1.248216	0.941557	0.968760	1.253608	0.953702	
1.947952	0.971524	1.054356	1.815006	0.941226	1.010623	1.528381	0.959866	
